OBJECTID,UNIT_NAME,STATEFP,COUNTYFP
249,Chesapeake and Ohio Canal National Historical Park,54,065
250,Chickamauga and Chattanooga National Military Park,13,047
251,Chickamauga and Chattanooga National Military Park,13,083
252,Chickamauga and Chattanooga National Military Park,13,295
253,Chickamauga and Chattanooga National Military Park,47,065
254,Chickasaw National Recreation Area,40,099
255,Chiricahua National Monument,04,003
256,Christiansted National Historic Site,78,010
257,City of Rocks National Reserve,16,031
258,Clara Barton National Historic Site,24,031
259,Colonial National Historical Park,51,073
260,Colonial National Historical Park,51,095
261,Colonial National Historical Park,51,181
262,Colonial National Historical Park,51,199
263,Colonial National Historical Park,51,830
264,Colorado National Monument,08,077
265,Congaree National Park,45,017
266,Congaree National Park,45,079
267,Congaree National Park,45,085
268,Constitution Gardens,11,001
269,Coronado National Memorial,04,003
270,Cowpens National Battlefield,45,021
271,Crater Lake National Park,41,019
272,Crater Lake National Park,41,029
273,Crater Lake National Park,41,035
274,Craters of the Moon National Monument,16,013
275,Craters of the Moon National Monument,16,023
276,Craters of the Moon National Preserve,16,013
277,Craters of the Moon National Preserve,16,023
278,Craters of the Moon National Preserve,16,063
279,Craters of the Moon National Preserve,16,067
280,Craters of the Moon National Preserve,16,077
281,Cumberland Gap National Historical Park,21,013
282,Cumberland Gap National Historical Park,21,095
283,Cumberland Gap National Historical Park,47,025
284,Cumberland Gap National Historical Park,51,105
285,Cumberland Island National Seashore,13,039
286,Curecanti National Recreation Area,08,051
287,Curecanti National Recreation Area,08,085
288,Cuyahoga Valley National Park,39,035
289,Cuyahoga Valley National Park,39,153
290,Dayton Aviation Heritage National Historical Park,39,057
291,Dayton Aviation Heritage National Historical Park,39,113
292,De Soto National Memorial,12,081
293,Death Valley National Park,06,027
294,Death Valley National Park,06,071
295,Death Valley National Park,32,009
296,Death Valley National Park,32,023
297,Delaware Water Gap National Recreation Area,34,037
298,Delaware Water Gap National Recreation Area,34,041
299,Delaware Water Gap National Recreation Area,42,089
300,Delaware Water Gap National Recreation Area,42,095
301,Delaware Water Gap National Recreation Area,42,103
302,Denali National Park,02,068
303,Denali National Park,02,170
304,Denali National Preserve,02,068
305,Denali National Preserve,02,170
306,Denali National Preserve,02,290
307,Devils Postpile National Monument,06,039
308,Devils Tower National Monument,56,011
309,Dinosaur National Monument,08,081
310,Dinosaur National Monument,49,047
311,Dry Tortugas National Park,12,087
312,Ebey's Landing National Historical Reserve,53,029
313,Effigy Mounds National Monument,19,005
314,Effigy Mounds National Monument,19,043
315,Eisenhower National Historic Site,42,001
316,El Malpais National Monument,35,006
317,El Morro National Monument,35,006
318,Eleanor Roosevelt National Historic Site,36,027
319,Eugene O'Neill National Historic Site,06,013
320,Everglades National Park,12,021
321,Everglades National Park,12,086
322,Everglades National Park,12,087
323,Fire Island National Seashore,36,103
324,First State National Historical Park,10,001
325,First State National Historical Park,10,003
326,First State National Historical Park,42,045
327,Flight 93 National Memorial,42,111
328,Florissant Fossil Beds National Monument,08,119
329,Fort Bowie National Historic Site,04,003
330,Fort Caroline National Memorial,12,031
331,Fort Davis National Historic Site,48,243
332,Fort Donelson National Battlefield,21,035
333,Fort Donelson National Battlefield,47,079
334,Fort Donelson National Battlefield,47,161
335,Fort Frederica National Monument,13,127
336,Fort Laramie National Historic Site,56,015
337,Fort Larned National Historic Site,20,145
338,Fort Matanzas National Monument,12,109
339,Fort McHenry National Monument and Historic Shrine,24,510
340,Fort Monroe National Monument,51,650
341,Fort Necessity National Battlefield,42,051
342,Fort Point National Historic Site,06,075
343,Fort Pulaski National Monument,13,051
344,Fort Raleigh National Historic Site,37,055
345,Fort Scott National Historic Site,20,011
346,Fort Smith National Historic Site,05,131
347,Fort Smith National Historic Site,40,135
348,Fort Stanwix National Monument,36,065
